$DATA1 SOURCE='HSPICE' VERSION='N-2017.12 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '* -------------------------------------------------------------------'
tdelay,t_hr,tc2q,temper,alter#
-6.2000e-11,-6.2000e-11, 2.0399e-08,  25.00000,1
-6.1000e-11,-6.1000e-11, 4.6268e-10,  25.00000,1
-6.0000e-11,-6.0000e-11, 4.4236e-10,  25.00000,1
-5.9000e-11,-5.9000e-11, 4.3159e-10,  25.00000,1
-5.8000e-11,-5.8000e-11, 4.2486e-10,  25.00000,1
-5.7000e-11,-5.7000e-11, 4.2009e-10,  25.00000,1
-5.6000e-11,-5.6000e-11, 4.1673e-10,  25.00000,1
-5.5000e-11,-5.5000e-11, 4.1399e-10,  25.00000,1
-5.4000e-11,-5.4000e-11, 4.1182e-10,  25.00000,1
-5.3000e-11,-5.3000e-11, 4.1003e-10,  25.00000,1
-5.2000e-11,-5.2000e-11, 4.0848e-10,  25.00000,1
-5.1000e-11,-5.1000e-11, 4.0728e-10,  25.00000,1
-5.0000e-11,-5.0000e-11, 4.0614e-10,  25.00000,1
-4.9000e-11,-4.9000e-11, 4.0527e-10,  25.00000,1
-4.8000e-11,-4.8000e-11, 4.0450e-10,  25.00000,1
-4.7000e-11,-4.7000e-11, 4.0376e-10,  25.00000,1
-4.6000e-11,-4.6000e-11, 4.0316e-10,  25.00000,1
-4.5000e-11,-4.5000e-11, 4.0271e-10,  25.00000,1
-4.4000e-11,-4.4000e-11, 4.0218e-10,  25.00000,1
-4.3000e-11,-4.3000e-11, 4.0179e-10,  25.00000,1
-4.2000e-11,-4.2000e-11, 4.0138e-10,  25.00000,1
-4.1000e-11,-4.1000e-11, 4.0103e-10,  25.00000,1
-4.0000e-11,-4.0000e-11, 4.0079e-10,  25.00000,1
-3.9000e-11,-3.9000e-11, 4.0054e-10,  25.00000,1
-3.8000e-11,-3.8000e-11, 4.0022e-10,  25.00000,1
-3.7000e-11,-3.7000e-11, 4.0002e-10,  25.00000,1
-3.6000e-11,-3.6000e-11, 3.9979e-10,  25.00000,1
-3.5000e-11,-3.5000e-11, 3.9968e-10,  25.00000,1
-3.4000e-11,-3.4000e-11, 3.9950e-10,  25.00000,1
-3.3000e-11,-3.3000e-11, 3.9942e-10,  25.00000,1
-3.2000e-11,-3.2000e-11, 3.9931e-10,  25.00000,1
-3.1000e-11,-3.1000e-11, 3.9924e-10,  25.00000,1
-3.0000e-11,-3.0000e-11, 3.9913e-10,  25.00000,1
-2.9000e-11,-2.9000e-11, 3.9909e-10,  25.00000,1
