$DATA1 SOURCE='HSPICE' VERSION='N-2017.12 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '* -------------------------------------------------------------------'
tdelay,t_sur,td2qr,tck2qr,temper,alter#
-8.0000e-11,-8.0000e-11, 2.0296e-08, 2.0376e-08,  25.00000,1
-7.9000e-11,-7.9000e-11, 2.0297e-08, 2.0376e-08,  25.00000,1
-7.8000e-11,-7.8000e-11, 2.0298e-08, 2.0376e-08,  25.00000,1
-7.7000e-11,-7.7000e-11, 2.0299e-08, 2.0376e-08,  25.00000,1
-7.6000e-11,-7.6000e-11, 2.0300e-08, 2.0376e-08,  25.00000,1
-7.5000e-11,-7.5000e-11, 2.0301e-08, 2.0376e-08,  25.00000,1
-7.4000e-11,-7.4000e-11, 2.0302e-08, 2.0376e-08,  25.00000,1
-7.3000e-11,-7.3000e-11, 2.0303e-08, 2.0376e-08,  25.00000,1
-7.2000e-11,-7.2000e-11, 2.0304e-08, 2.0376e-08,  25.00000,1
-7.1000e-11,-7.1000e-11, 2.0305e-08, 2.0376e-08,  25.00000,1
-7.0000e-11,-7.0000e-11, 2.0306e-08, 2.0376e-08,  25.00000,1
-6.9000e-11,-6.9000e-11, 2.0307e-08, 2.0376e-08,  25.00000,1
-6.8000e-11,-6.8000e-11, 2.0308e-08, 2.0376e-08,  25.00000,1
-6.7000e-11,-6.7000e-11, 2.0309e-08, 2.0376e-08,  25.00000,1
-6.6000e-11,-6.6000e-11, 2.0310e-08, 2.0376e-08,  25.00000,1
-6.5000e-11,-6.5000e-11, 2.0311e-08, 2.0376e-08,  25.00000,1
-6.4000e-11,-6.4000e-11, 2.0312e-08, 2.0376e-08,  25.00000,1
-6.3000e-11,-6.3000e-11, 2.0313e-08, 2.0376e-08,  25.00000,1
-6.2000e-11,-6.2000e-11, 2.0314e-08, 2.0376e-08,  25.00000,1
-6.1000e-11,-6.1000e-11, 2.0315e-08, 2.0376e-08,  25.00000,1
-6.0000e-11,-6.0000e-11, 2.0316e-08, 2.0376e-08,  25.00000,1
-5.9000e-11,-5.9000e-11, 2.0317e-08, 2.0376e-08,  25.00000,1
-5.8000e-11,-5.8000e-11, 2.0318e-08, 2.0376e-08,  25.00000,1
-5.7000e-11,-5.7000e-11, 2.0319e-08, 2.0376e-08,  25.00000,1
-5.6000e-11,-5.6000e-11, 2.0320e-08, 2.0376e-08,  25.00000,1
-5.5000e-11,-5.5000e-11, 2.0321e-08, 2.0376e-08,  25.00000,1
-5.4000e-11,-5.4000e-11, 2.0322e-08, 2.0376e-08,  25.00000,1
-5.3000e-11,-5.3000e-11, 2.0323e-08, 2.0376e-08,  25.00000,1
-5.2000e-11,-5.2000e-11, 2.0324e-08, 2.0376e-08,  25.00000,1
-5.1000e-11,-5.1000e-11, 2.0325e-08, 2.0376e-08,  25.00000,1
-5.0000e-11,-5.0000e-11, 2.0326e-08, 2.0376e-08,  25.00000,1
-4.9000e-11,-4.9000e-11, 2.0327e-08, 2.0376e-08,  25.00000,1
-4.8000e-11,-4.8000e-11, 2.0328e-08, 2.0376e-08,  25.00000,1
-4.7000e-11,-4.7000e-11, 2.0329e-08, 2.0376e-08,  25.00000,1
-4.6000e-11,-4.6000e-11, 2.0330e-08, 2.0376e-08,  25.00000,1
