$DATA1 SOURCE='HSPICE' VERSION='N-2017.12 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '* -------------------------------------------------------------------'
tdelay,t_sur,td2qr,tck2qr,temper,alter#
-8.0000e-11,-8.0000e-11, 2.0383e-08, 2.0463e-08,  25.00000,1
-7.9000e-11,-7.9000e-11, 2.0384e-08, 2.0463e-08,  25.00000,1
-7.8000e-11,-7.8000e-11, 2.0385e-08, 2.0463e-08,  25.00000,1
-7.7000e-11,-7.7000e-11, 2.0386e-08, 2.0463e-08,  25.00000,1
-7.6000e-11,-7.6000e-11, 2.0387e-08, 2.0463e-08,  25.00000,1
-7.5000e-11,-7.5000e-11, 2.0388e-08, 2.0463e-08,  25.00000,1
-7.4000e-11,-7.4000e-11, 2.0389e-08, 2.0463e-08,  25.00000,1
-7.3000e-11,-7.3000e-11, 2.0390e-08, 2.0463e-08,  25.00000,1
-7.2000e-11,-7.2000e-11, 2.0391e-08, 2.0463e-08,  25.00000,1
-7.1000e-11,-7.1000e-11, 2.0392e-08, 2.0463e-08,  25.00000,1
-7.0000e-11,-7.0000e-11, 2.0393e-08, 2.0463e-08,  25.00000,1
-6.9000e-11,-6.9000e-11, 2.0394e-08, 2.0463e-08,  25.00000,1
-6.8000e-11,-6.8000e-11, 2.0395e-08, 2.0463e-08,  25.00000,1
-6.7000e-11,-6.7000e-11, 2.0396e-08, 2.0463e-08,  25.00000,1
-6.6000e-11,-6.6000e-11, 2.0397e-08, 2.0463e-08,  25.00000,1
-6.5000e-11,-6.5000e-11, 2.0398e-08, 2.0463e-08,  25.00000,1
-6.4000e-11,-6.4000e-11, 2.0399e-08, 2.0463e-08,  25.00000,1
-6.3000e-11,-6.3000e-11, 2.0400e-08, 2.0463e-08,  25.00000,1
-6.2000e-11,-6.2000e-11, 2.0401e-08, 2.0463e-08,  25.00000,1
-6.1000e-11,-6.1000e-11, 2.0402e-08, 2.0463e-08,  25.00000,1
-6.0000e-11,-6.0000e-11, 2.0403e-08, 2.0463e-08,  25.00000,1
-5.9000e-11,-5.9000e-11, 2.0404e-08, 2.0463e-08,  25.00000,1
-5.8000e-11,-5.8000e-11, 2.0405e-08, 2.0463e-08,  25.00000,1
