$DATA1 SOURCE='HSPICE' VERSION='N-2017.12 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '* -------------------------------------------------------------------'
tdelay,t_hr,tc2q,temper,alter#
-1.1900e-10,-1.1900e-10, 2.0463e-08,  25.00000,1
-1.1800e-10,-1.1800e-10, 2.0463e-08,  25.00000,1
-1.1700e-10,-1.1700e-10, 2.0463e-08,  25.00000,1
-1.1600e-10,-1.1600e-10, 2.0463e-08,  25.00000,1
-1.1500e-10,-1.1500e-10, 2.0463e-08,  25.00000,1
-1.1400e-10,-1.1400e-10, 2.0463e-08,  25.00000,1
-1.1300e-10,-1.1300e-10, 2.0463e-08,  25.00000,1
-1.1200e-10,-1.1200e-10, 2.0463e-08,  25.00000,1
-1.1100e-10,-1.1100e-10, 2.0463e-08,  25.00000,1
-1.1000e-10,-1.1000e-10, 2.0463e-08,  25.00000,1
-1.0900e-10,-1.0900e-10, 2.0463e-08,  25.00000,1
-1.0800e-10,-1.0800e-10, 2.0463e-08,  25.00000,1
-1.0700e-10,-1.0700e-10, 2.0463e-08,  25.00000,1
-1.0600e-10,-1.0600e-10, 2.0463e-08,  25.00000,1
-1.0500e-10,-1.0500e-10, 2.0463e-08,  25.00000,1
-1.0400e-10,-1.0400e-10, 2.0463e-08,  25.00000,1
-1.0300e-10,-1.0300e-10, 2.0463e-08,  25.00000,1
-1.0200e-10,-1.0200e-10, 2.0463e-08,  25.00000,1
-1.0100e-10,-1.0100e-10, 2.0463e-08,  25.00000,1
-1.0000e-10,-1.0000e-10, 2.0463e-08,  25.00000,1
-9.9000e-11,-9.9000e-11, 2.0463e-08,  25.00000,1
-9.8000e-11,-9.8000e-11, 2.0463e-08,  25.00000,1
-9.7000e-11,-9.7000e-11, 2.0463e-08,  25.00000,1
-9.6000e-11,-9.6000e-11, 2.0463e-08,  25.00000,1
-9.5000e-11,-9.5000e-11, 2.0463e-08,  25.00000,1
-9.4000e-11,-9.4000e-11, 2.0463e-08,  25.00000,1
-9.3000e-11,-9.3000e-11, 2.0463e-08,  25.00000,1
-9.2000e-11,-9.2000e-11, 2.0463e-08,  25.00000,1
-9.1000e-11,-9.1000e-11, 2.0463e-08,  25.00000,1
-9.0000e-11,-9.0000e-11, 2.0463e-08,  25.00000,1
-8.9000e-11,-8.9000e-11, 2.0463e-08,  25.00000,1
-8.8000e-11,-8.8000e-11, 2.0463e-08,  25.00000,1
-8.7000e-11,-8.7000e-11, 2.0463e-08,  25.00000,1
-8.6000e-11,-8.6000e-11, 2.0463e-08,  25.00000,1
-8.5000e-11,-8.5000e-11, 2.0463e-08,  25.00000,1
-8.4000e-11,-8.4000e-11, 2.0463e-08,  25.00000,1
-8.3000e-11,-8.3000e-11, 2.0463e-08,  25.00000,1
-8.2000e-11,-8.2000e-11, 2.0463e-08,  25.00000,1
-8.1000e-11,-8.1000e-11, 2.0463e-08,  25.00000,1
-8.0000e-11,-8.0000e-11, 2.0463e-08,  25.00000,1
-7.9000e-11,-7.9000e-11, 2.0463e-08,  25.00000,1
-7.8000e-11,-7.8000e-11, 2.0463e-08,  25.00000,1
-7.7000e-11,-7.7000e-11, 2.0463e-08,  25.00000,1
-7.6000e-11,-7.6000e-11, 2.0463e-08,  25.00000,1
-7.5000e-11,-7.5000e-11, 2.0463e-08,  25.00000,1
-7.4000e-11,-7.4000e-11, 2.0463e-08,  25.00000,1
-7.3000e-11,-7.3000e-11, 2.0463e-08,  25.00000,1
-7.2000e-11,-7.2000e-11, 2.0463e-08,  25.00000,1
-7.1000e-11,-7.1000e-11, 2.0463e-08,  25.00000,1
-7.0000e-11,-7.0000e-11, 2.0463e-08,  25.00000,1
-6.9000e-11,-6.9000e-11, 2.0463e-08,  25.00000,1
-6.8000e-11,-6.8000e-11, 2.0463e-08,  25.00000,1
-6.7000e-11,-6.7000e-11, 2.0463e-08,  25.00000,1
-6.6000e-11,-6.6000e-11, 2.0463e-08,  25.00000,1
-6.5000e-11,-6.5000e-11, 2.0463e-08,  25.00000,1
-6.4000e-11,-6.4000e-11, 2.0463e-08,  25.00000,1
-6.3000e-11,-6.3000e-11, 2.0463e-08,  25.00000,1
-6.2000e-11,-6.2000e-11, 2.0463e-08,  25.00000,1
-6.1000e-11,-6.1000e-11, 2.0463e-08,  25.00000,1
-6.0000e-11,-6.0000e-11, 2.0463e-08,  25.00000,1
-5.9000e-11,-5.9000e-11, 2.0463e-08,  25.00000,1
-5.8000e-11,-5.8000e-11, 2.0463e-08,  25.00000,1
-5.7000e-11,-5.7000e-11, 2.0463e-08,  25.00000,1
-5.6000e-11,-5.6000e-11, 2.0463e-08,  25.00000,1
-5.5000e-11,-5.5000e-11, 2.0463e-08,  25.00000,1
-5.4000e-11,-5.4000e-11, 2.0463e-08,  25.00000,1
-5.3000e-11,-5.3000e-11, 2.0463e-08,  25.00000,1
-5.2000e-11,-5.2000e-11, 2.0463e-08,  25.00000,1
-5.1000e-11,-5.1000e-11, 2.0463e-08,  25.00000,1
-5.0000e-11,-5.0000e-11, 2.0463e-08,  25.00000,1
-4.9000e-11,-4.9000e-11, 2.0463e-08,  25.00000,1
-4.8000e-11,-4.8000e-11, 2.0463e-08,  25.00000,1
-4.7000e-11,-4.7000e-11, 2.0463e-08,  25.00000,1
-4.6000e-11,-4.6000e-11, 2.0463e-08,  25.00000,1
-4.5000e-11,-4.5000e-11, 2.0463e-08,  25.00000,1
-4.4000e-11,-4.4000e-11, 2.0463e-08,  25.00000,1
-4.3000e-11,-4.3000e-11, 2.0463e-08,  25.00000,1
-4.2000e-11,-4.2000e-11, 2.0463e-08,  25.00000,1
-4.1000e-11,-4.1000e-11, 2.0463e-08,  25.00000,1
-4.0000e-11,-4.0000e-11, 2.0463e-08,  25.00000,1
-3.9000e-11,-3.9000e-11, 2.0463e-08,  25.00000,1
-3.8000e-11,-3.8000e-11, 2.0463e-08,  25.00000,1
-3.7000e-11,-3.7000e-11, 2.0463e-08,  25.00000,1
-3.6000e-11,-3.6000e-11, 2.0463e-08,  25.00000,1
-3.5000e-11,-3.5000e-11, 2.0463e-08,  25.00000,1
-3.4000e-11,-3.4000e-11, 2.0463e-08,  25.00000,1
-3.3000e-11,-3.3000e-11, 2.0463e-08,  25.00000,1
-3.2000e-11,-3.2000e-11, 2.0463e-08,  25.00000,1
-3.1000e-11,-3.1000e-11, 2.0463e-08,  25.00000,1
-3.0000e-11,-3.0000e-11, 2.0463e-08,  25.00000,1
-2.9000e-11,-2.9000e-11, 2.0463e-08,  25.00000,1
-2.8000e-11,-2.8000e-11, 2.0463e-08,  25.00000,1
-2.7000e-11,-2.7000e-11, 2.0463e-08,  25.00000,1
-2.6000e-11,-2.6000e-11, 2.0463e-08,  25.00000,1
-2.5000e-11,-2.5000e-11, 2.0463e-08,  25.00000,1
-2.4000e-11,-2.4000e-11, 2.0463e-08,  25.00000,1
-2.3000e-11,-2.3000e-11, 2.0463e-08,  25.00000,1
-2.2000e-11,-2.2000e-11, 2.0463e-08,  25.00000,1
-2.1000e-11,-2.1000e-11, 2.0463e-08,  25.00000,1
-2.0000e-11,-2.0000e-11, 2.0463e-08,  25.00000,1
-1.9000e-11,-1.9000e-11, 2.0463e-08,  25.00000,1
-1.8000e-11,-1.8000e-11, 2.0463e-08,  25.00000,1
-1.7000e-11,-1.7000e-11, 2.0463e-08,  25.00000,1
-1.6000e-11,-1.6000e-11, 2.0463e-08,  25.00000,1
-1.5000e-11,-1.5000e-11, 2.0463e-08,  25.00000,1
-1.4000e-11,-1.4000e-11, 2.0463e-08,  25.00000,1
-1.3000e-11,-1.3000e-11, 2.0463e-08,  25.00000,1
-1.2000e-11,-1.2000e-11, 2.0463e-08,  25.00000,1
-1.1000e-11,-1.1000e-11, 2.0463e-08,  25.00000,1
-1.0000e-11,-1.0000e-11, 6.5008e-10,  25.00000,1
-9.0000e-12,-9.0000e-12, 5.9973e-10,  25.00000,1
-8.0000e-12,-8.0000e-12, 5.7750e-10,  25.00000,1
-7.0000e-12,-7.0000e-12, 5.6488e-10,  25.00000,1
-6.0000e-12,-6.0000e-12, 5.5620e-10,  25.00000,1
-5.0000e-12,-5.0000e-12, 5.4871e-10,  25.00000,1
-4.0000e-12,-4.0000e-12, 5.4309e-10,  25.00000,1
-3.0000e-12,-3.0000e-12, 5.3750e-10,  25.00000,1
-2.0000e-12,-2.0000e-12, 5.3340e-10,  25.00000,1
-1.0000e-12,-1.0000e-12, 5.2928e-10,  25.00000,1
   0.,   0., 5.2483e-10,  25.00000,1
 1.0000e-12, 1.0000e-12, 5.2137e-10,  25.00000,1
 2.0000e-12, 2.0000e-12, 5.1800e-10,  25.00000,1
 3.0000e-12, 3.0000e-12, 5.1451e-10,  25.00000,1
 4.0000e-12, 4.0000e-12, 5.1144e-10,  25.00000,1
 5.0000e-12, 5.0000e-12, 5.0845e-10,  25.00000,1
 6.0000e-12, 6.0000e-12, 5.0569e-10,  25.00000,1
 7.0000e-12, 7.0000e-12, 5.0302e-10,  25.00000,1
 8.0000e-12, 8.0000e-12, 5.0058e-10,  25.00000,1
 9.0000e-12, 9.0000e-12, 4.9797e-10,  25.00000,1
 1.0000e-11, 1.0000e-11, 4.9561e-10,  25.00000,1
 1.1000e-11, 1.1000e-11, 4.9345e-10,  25.00000,1
 1.2000e-11, 1.2000e-11, 4.9161e-10,  25.00000,1
 1.3000e-11, 1.3000e-11, 4.8964e-10,  25.00000,1
 1.4000e-11, 1.4000e-11, 4.8772e-10,  25.00000,1
 1.5000e-11, 1.5000e-11, 4.8604e-10,  25.00000,1
 1.6000e-11, 1.6000e-11, 4.8456e-10,  25.00000,1
 1.7000e-11, 1.7000e-11, 4.8320e-10,  25.00000,1
 1.8000e-11, 1.8000e-11, 4.8193e-10,  25.00000,1
 1.9000e-11, 1.9000e-11, 4.8053e-10,  25.00000,1
 2.0000e-11, 2.0000e-11, 4.7957e-10,  25.00000,1
 2.1000e-11, 2.1000e-11, 4.7841e-10,  25.00000,1
 2.2000e-11, 2.2000e-11, 4.7744e-10,  25.00000,1
 2.3000e-11, 2.3000e-11, 4.7656e-10,  25.00000,1
 2.4000e-11, 2.4000e-11, 4.7576e-10,  25.00000,1
 2.5000e-11, 2.5000e-11, 4.7499e-10,  25.00000,1
 2.6000e-11, 2.6000e-11, 4.7446e-10,  25.00000,1
 2.7000e-11, 2.7000e-11, 4.7369e-10,  25.00000,1
 2.8000e-11, 2.8000e-11, 4.7309e-10,  25.00000,1
 2.9000e-11, 2.9000e-11, 4.7258e-10,  25.00000,1
 3.0000e-11, 3.0000e-11, 4.7206e-10,  25.00000,1
 3.1000e-11, 3.1000e-11, 4.7160e-10,  25.00000,1
 3.2000e-11, 3.2000e-11, 4.7130e-10,  25.00000,1
 3.3000e-11, 3.3000e-11, 4.7073e-10,  25.00000,1
 3.4000e-11, 3.4000e-11, 4.7032e-10,  25.00000,1
 3.5000e-11, 3.5000e-11, 4.6996e-10,  25.00000,1
 3.6000e-11, 3.6000e-11, 4.6963e-10,  25.00000,1
 3.7000e-11, 3.7000e-11, 4.6925e-10,  25.00000,1
 3.8000e-11, 3.8000e-11, 4.6916e-10,  25.00000,1
 3.9000e-11, 3.9000e-11, 4.6870e-10,  25.00000,1
 4.0000e-11, 4.0000e-11, 4.6835e-10,  25.00000,1
 4.1000e-11, 4.1000e-11, 4.6806e-10,  25.00000,1
 4.2000e-11, 4.2000e-11, 4.6797e-10,  25.00000,1
 4.3000e-11, 4.3000e-11, 4.6751e-10,  25.00000,1
 4.4000e-11, 4.4000e-11, 4.6725e-10,  25.00000,1
 4.5000e-11, 4.5000e-11, 4.6703e-10,  25.00000,1
 4.6000e-11, 4.6000e-11, 4.6673e-10,  25.00000,1
 4.7000e-11, 4.7000e-11, 4.6661e-10,  25.00000,1
 4.8000e-11, 4.8000e-11, 4.6656e-10,  25.00000,1
 4.9000e-11, 4.9000e-11, 4.6623e-10,  25.00000,1
 5.0000e-11, 5.0000e-11, 4.6603e-10,  25.00000,1
 5.1000e-11, 5.1000e-11, 4.6580e-10,  25.00000,1
 5.2000e-11, 5.2000e-11, 4.6564e-10,  25.00000,1
 5.3000e-11, 5.3000e-11, 4.6553e-10,  25.00000,1
 5.4000e-11, 5.4000e-11, 4.6530e-10,  25.00000,1
 5.5000e-11, 5.5000e-11, 4.6516e-10,  25.00000,1
 5.6000e-11, 5.6000e-11, 4.6503e-10,  25.00000,1
 5.7000e-11, 5.7000e-11, 4.6488e-10,  25.00000,1
 5.8000e-11, 5.8000e-11, 4.6473e-10,  25.00000,1
 5.9000e-11, 5.9000e-11, 4.6465e-10,  25.00000,1
 6.0000e-11, 6.0000e-11, 4.6455e-10,  25.00000,1
 6.1000e-11, 6.1000e-11, 4.6443e-10,  25.00000,1
 6.2000e-11, 6.2000e-11, 4.6431e-10,  25.00000,1
 6.3000e-11, 6.3000e-11, 4.6420e-10,  25.00000,1
 6.4000e-11, 6.4000e-11, 4.6412e-10,  25.00000,1
 6.5000e-11, 6.5000e-11, 4.6401e-10,  25.00000,1
 6.6000e-11, 6.6000e-11, 4.6390e-10,  25.00000,1
 6.7000e-11, 6.7000e-11, 4.6400e-10,  25.00000,1
 6.8000e-11, 6.8000e-11, 4.6377e-10,  25.00000,1
 6.9000e-11, 6.9000e-11, 4.6370e-10,  25.00000,1
 7.0000e-11, 7.0000e-11, 4.6374e-10,  25.00000,1
 7.1000e-11, 7.1000e-11, 4.6355e-10,  25.00000,1
 7.2000e-11, 7.2000e-11, 4.6353e-10,  25.00000,1
 7.3000e-11, 7.3000e-11, 4.6344e-10,  25.00000,1
 7.4000e-11, 7.4000e-11, 4.6334e-10,  25.00000,1
 7.5000e-11, 7.5000e-11, 4.6333e-10,  25.00000,1
 7.6000e-11, 7.6000e-11, 4.6326e-10,  25.00000,1
 7.7000e-11, 7.7000e-11, 4.6322e-10,  25.00000,1
 7.8000e-11, 7.8000e-11, 4.6320e-10,  25.00000,1
 7.9000e-11, 7.9000e-11, 4.6314e-10,  25.00000,1
 8.0000e-11, 8.0000e-11, 4.6313e-10,  25.00000,1
 8.1000e-11, 8.1000e-11, 4.6308e-10,  25.00000,1
 8.2000e-11, 8.2000e-11, 4.6305e-10,  25.00000,1
 8.3000e-11, 8.3000e-11, 4.6301e-10,  25.00000,1
 8.4000e-11, 8.4000e-11, 4.6295e-10,  25.00000,1
 8.5000e-11, 8.5000e-11, 4.6293e-10,  25.00000,1
 8.6000e-11, 8.6000e-11, 4.6290e-10,  25.00000,1
 8.7000e-11, 8.7000e-11, 4.6290e-10,  25.00000,1
 8.8000e-11, 8.8000e-11, 4.6291e-10,  25.00000,1
 8.9000e-11, 8.9000e-11, 4.6288e-10,  25.00000,1
 9.0000e-11, 9.0000e-11, 4.6290e-10,  25.00000,1
 9.1000e-11, 9.1000e-11, 4.6303e-10,  25.00000,1
 9.2000e-11, 9.2000e-11, 4.6284e-10,  25.00000,1
 9.3000e-11, 9.3000e-11, 4.6297e-10,  25.00000,1
 9.4000e-11, 9.4000e-11, 4.6281e-10,  25.00000,1
 9.5000e-11, 9.5000e-11, 4.6280e-10,  25.00000,1
 9.6000e-11, 9.6000e-11, 4.6262e-10,  25.00000,1
 9.7000e-11, 9.7000e-11, 4.6269e-10,  25.00000,1
 9.8000e-11, 9.8000e-11, 4.6275e-10,  25.00000,1
 9.9000e-11, 9.9000e-11, 4.6269e-10,  25.00000,1
 1.0000e-10, 1.0000e-10, 4.6273e-10,  25.00000,1
 1.0100e-10, 1.0100e-10, 4.6284e-10,  25.00000,1
 1.0200e-10, 1.0200e-10, 4.6270e-10,  25.00000,1
 1.0300e-10, 1.0300e-10, 4.6264e-10,  25.00000,1
 1.0400e-10, 1.0400e-10, 4.6261e-10,  25.00000,1
 1.0500e-10, 1.0500e-10, 4.6287e-10,  25.00000,1
 1.0600e-10, 1.0600e-10, 4.6283e-10,  25.00000,1
 1.0700e-10, 1.0700e-10, 4.6267e-10,  25.00000,1
 1.0800e-10, 1.0800e-10, 4.6268e-10,  25.00000,1
 1.0900e-10, 1.0900e-10, 4.6265e-10,  25.00000,1
 1.1000e-10, 1.1000e-10, 4.6263e-10,  25.00000,1
 1.1100e-10, 1.1100e-10, 4.6261e-10,  25.00000,1
 1.1200e-10, 1.1200e-10, 4.6255e-10,  25.00000,1
 1.1300e-10, 1.1300e-10, 4.6274e-10,  25.00000,1
 1.1400e-10, 1.1400e-10, 4.6258e-10,  25.00000,1
 1.1500e-10, 1.1500e-10, 4.6257e-10,  25.00000,1
 1.1600e-10, 1.1600e-10, 4.6263e-10,  25.00000,1
 1.1700e-10, 1.1700e-10, 4.6262e-10,  25.00000,1
 1.1800e-10, 1.1800e-10, 4.6278e-10,  25.00000,1
 1.1900e-10, 1.1900e-10, 4.6263e-10,  25.00000,1
 1.2000e-10, 1.2000e-10, 4.6259e-10,  25.00000,1
 1.2100e-10, 1.2100e-10, 4.6265e-10,  25.00000,1
 1.2200e-10, 1.2200e-10, 4.6274e-10,  25.00000,1
 1.2300e-10, 1.2300e-10, 4.6270e-10,  25.00000,1
 1.2400e-10, 1.2400e-10, 4.6266e-10,  25.00000,1
 1.2500e-10, 1.2500e-10, 4.6279e-10,  25.00000,1
 1.2600e-10, 1.2600e-10, 4.6280e-10,  25.00000,1
 1.2700e-10, 1.2700e-10, 4.6281e-10,  25.00000,1
 1.2800e-10, 1.2800e-10, 4.6283e-10,  25.00000,1
 1.2900e-10, 1.2900e-10, 4.6284e-10,  25.00000,1
 1.3000e-10, 1.3000e-10, 4.6267e-10,  25.00000,1
 1.3100e-10, 1.3100e-10, 4.6264e-10,  25.00000,1
 1.3200e-10, 1.3200e-10, 4.6284e-10,  25.00000,1
 1.3300e-10, 1.3300e-10, 4.6269e-10,  25.00000,1
 1.3400e-10, 1.3400e-10, 4.6271e-10,  25.00000,1
