$DATA1 SOURCE='HSPICE' VERSION='N-2017.12 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '* -------------------------------------------------------------------'
tdelay,t_suf,td2qf,tck2qf,temper,alter#
-8.0000e-11,-8.0000e-11, 2.0420e-08, 2.0500e-08,  25.00000,1
-7.9000e-11,-7.9000e-11, 2.0421e-08, 2.0500e-08,  25.00000,1
-7.8000e-11,-7.8000e-11, 2.0422e-08, 2.0500e-08,  25.00000,1
-7.7000e-11,-7.7000e-11, 2.0423e-08, 2.0500e-08,  25.00000,1
-7.6000e-11,-7.6000e-11, 2.0424e-08, 2.0500e-08,  25.00000,1
-7.5000e-11,-7.5000e-11, 2.0425e-08, 2.0500e-08,  25.00000,1
-7.4000e-11,-7.4000e-11, 2.0426e-08, 2.0500e-08,  25.00000,1
-7.3000e-11,-7.3000e-11, 2.0427e-08, 2.0500e-08,  25.00000,1
-7.2000e-11,-7.2000e-11, 2.0428e-08, 2.0500e-08,  25.00000,1
-7.1000e-11,-7.1000e-11, 2.0429e-08, 2.0500e-08,  25.00000,1
-7.0000e-11,-7.0000e-11, 2.0430e-08, 2.0500e-08,  25.00000,1
-6.9000e-11,-6.9000e-11, 2.0431e-08, 2.0500e-08,  25.00000,1
-6.8000e-11,-6.8000e-11, 2.0432e-08, 2.0500e-08,  25.00000,1
-6.7000e-11,-6.7000e-11, 2.0433e-08, 2.0500e-08,  25.00000,1
-6.6000e-11,-6.6000e-11, 2.0434e-08, 2.0500e-08,  25.00000,1
-6.5000e-11,-6.5000e-11, 2.0435e-08, 2.0500e-08,  25.00000,1
-6.4000e-11,-6.4000e-11, 2.0436e-08, 2.0500e-08,  25.00000,1
-6.3000e-11,-6.3000e-11, 2.0437e-08, 2.0500e-08,  25.00000,1
-6.2000e-11,-6.2000e-11, 2.0438e-08, 2.0500e-08,  25.00000,1
-6.1000e-11,-6.1000e-11, 2.0439e-08, 2.0500e-08,  25.00000,1
-6.0000e-11,-6.0000e-11, 2.0440e-08, 2.0500e-08,  25.00000,1
-5.9000e-11,-5.9000e-11, 2.0441e-08, 2.0500e-08,  25.00000,1
-5.8000e-11,-5.8000e-11, 2.0442e-08, 2.0500e-08,  25.00000,1
-5.7000e-11,-5.7000e-11, 2.0443e-08, 2.0500e-08,  25.00000,1
-5.6000e-11,-5.6000e-11, 2.0444e-08, 2.0500e-08,  25.00000,1
-5.5000e-11,-5.5000e-11, 2.0445e-08, 2.0500e-08,  25.00000,1
-5.4000e-11,-5.4000e-11, 2.0446e-08, 2.0500e-08,  25.00000,1
-5.3000e-11,-5.3000e-11, 2.0447e-08, 2.0500e-08,  25.00000,1
-5.2000e-11,-5.2000e-11, 2.0448e-08, 2.0500e-08,  25.00000,1
-5.1000e-11,-5.1000e-11, 2.0449e-08, 2.0500e-08,  25.00000,1
-5.0000e-11,-5.0000e-11, 2.0450e-08, 2.0500e-08,  25.00000,1
-4.9000e-11,-4.9000e-11, 2.0451e-08, 2.0500e-08,  25.00000,1
-4.8000e-11,-4.8000e-11, 2.0452e-08, 2.0500e-08,  25.00000,1
-4.7000e-11,-4.7000e-11, 2.0453e-08, 2.0500e-08,  25.00000,1
-4.6000e-11,-4.6000e-11, 2.0454e-08, 2.0500e-08,  25.00000,1
-4.5000e-11,-4.5000e-11, 2.0455e-08, 2.0500e-08,  25.00000,1
-4.4000e-11,-4.4000e-11, 2.0456e-08, 2.0500e-08,  25.00000,1
-4.3000e-11,-4.3000e-11, 2.0457e-08, 2.0500e-08,  25.00000,1
-4.2000e-11,-4.2000e-11, 2.0458e-08, 2.0500e-08,  25.00000,1
-4.1000e-11,-4.1000e-11, 2.0459e-08, 2.0500e-08,  25.00000,1
-4.0000e-11,-4.0000e-11, 2.0460e-08, 2.0500e-08,  25.00000,1
-3.9000e-11,-3.9000e-11, 2.0461e-08, 2.0500e-08,  25.00000,1
-3.8000e-11,-3.8000e-11, 2.0462e-08, 2.0500e-08,  25.00000,1
-3.7000e-11,-3.7000e-11, 2.0463e-08, 2.0500e-08,  25.00000,1
-3.6000e-11,-3.6000e-11, 2.0464e-08, 2.0500e-08,  25.00000,1
-3.5000e-11,-3.5000e-11, 2.0465e-08, 2.0500e-08,  25.00000,1
-3.4000e-11,-3.4000e-11, 2.0466e-08, 2.0500e-08,  25.00000,1
-3.3000e-11,-3.3000e-11, 2.0467e-08, 2.0500e-08,  25.00000,1
-3.2000e-11,-3.2000e-11, 2.0468e-08, 2.0500e-08,  25.00000,1
-3.1000e-11,-3.1000e-11, 2.0469e-08, 2.0500e-08,  25.00000,1
-3.0000e-11,-3.0000e-11, 2.0470e-08, 2.0500e-08,  25.00000,1
-2.9000e-11,-2.9000e-11, 2.0471e-08, 2.0500e-08,  25.00000,1
-2.8000e-11,-2.8000e-11, 2.0472e-08, 2.0500e-08,  25.00000,1
-2.7000e-11,-2.7000e-11, 2.0473e-08, 2.0500e-08,  25.00000,1
-2.6000e-11,-2.6000e-11, 2.0474e-08, 2.0500e-08,  25.00000,1
-2.5000e-11,-2.5000e-11, 2.0475e-08, 2.0500e-08,  25.00000,1
-2.4000e-11,-2.4000e-11, 2.0476e-08, 2.0500e-08,  25.00000,1
-2.3000e-11,-2.3000e-11, 2.0477e-08, 2.0500e-08,  25.00000,1
-2.2000e-11,-2.2000e-11, 2.0478e-08, 2.0500e-08,  25.00000,1
-2.1000e-11,-2.1000e-11, 2.0479e-08, 2.0500e-08,  25.00000,1
-2.0000e-11,-2.0000e-11, 2.0480e-08, 2.0500e-08,  25.00000,1
-1.9000e-11,-1.9000e-11, 2.0481e-08, 2.0500e-08,  25.00000,1
-1.8000e-11,-1.8000e-11, 2.0482e-08, 2.0500e-08,  25.00000,1
-1.7000e-11,-1.7000e-11, 2.0483e-08, 2.0500e-08,  25.00000,1
-1.6000e-11,-1.6000e-11, 2.0484e-08, 2.0500e-08,  25.00000,1
-1.5000e-11,-1.5000e-11, 2.0485e-08, 2.0500e-08,  25.00000,1
-1.4000e-11,-1.4000e-11, 2.0486e-08, 2.0500e-08,  25.00000,1
-1.3000e-11,-1.3000e-11, 2.0487e-08, 2.0500e-08,  25.00000,1
-1.2000e-11,-1.2000e-11, 2.0488e-08, 2.0500e-08,  25.00000,1
-1.1000e-11,-1.1000e-11, 2.0489e-08, 2.0500e-08,  25.00000,1
-1.0000e-11,-1.0000e-11, 2.0490e-08, 2.0500e-08,  25.00000,1
-9.0000e-12,-9.0000e-12, 2.0491e-08, 2.0500e-08,  25.00000,1
-8.0000e-12,-8.0000e-12, 2.0492e-08, 2.0500e-08,  25.00000,1
-7.0000e-12,-7.0000e-12, 2.0493e-08, 2.0500e-08,  25.00000,1
-6.0000e-12,-6.0000e-12, 2.0494e-08, 2.0500e-08,  25.00000,1
-5.0000e-12,-5.0000e-12, 2.0495e-08, 2.0500e-08,  25.00000,1
-4.0000e-12,-4.0000e-12, 2.0496e-08, 2.0500e-08,  25.00000,1
-3.0000e-12,-3.0000e-12, 2.0497e-08, 2.0500e-08,  25.00000,1
-2.0000e-12,-2.0000e-12, 2.0498e-08, 2.0500e-08,  25.00000,1
-1.0000e-12,-1.0000e-12, 2.0499e-08, 2.0500e-08,  25.00000,1
   0.,   0., 2.0500e-08, 2.0500e-08,  25.00000,1
 1.0000e-12, 1.0000e-12, 2.0501e-08, 2.0500e-08,  25.00000,1
 2.0000e-12, 2.0000e-12, 2.0502e-08, 2.0500e-08,  25.00000,1
 3.0000e-12, 3.0000e-12, 2.0503e-08, 2.0500e-08,  25.00000,1
 4.0000e-12, 4.0000e-12, 2.0504e-08, 2.0500e-08,  25.00000,1
 5.0000e-12, 5.0000e-12, 2.0505e-08, 2.0500e-08,  25.00000,1
 6.0000e-12, 6.0000e-12, 2.0506e-08, 2.0500e-08,  25.00000,1
 7.0000e-12, 7.0000e-12, 2.0507e-08, 2.0500e-08,  25.00000,1
 8.0000e-12, 8.0000e-12, 2.0508e-08, 2.0500e-08,  25.00000,1
 9.0000e-12, 9.0000e-12, 2.0509e-08, 2.0500e-08,  25.00000,1
 1.0000e-11, 1.0000e-11, 2.0510e-08, 2.0500e-08,  25.00000,1
 1.1000e-11, 1.1000e-11, 2.0511e-08, 2.0500e-08,  25.00000,1
 1.2000e-11, 1.2000e-11, 2.0512e-08, 2.0500e-08,  25.00000,1
 1.3000e-11, 1.3000e-11, 2.0513e-08, 2.0500e-08,  25.00000,1
 1.4000e-11, 1.4000e-11, 2.0514e-08, 2.0500e-08,  25.00000,1
 1.5000e-11, 1.5000e-11, 2.0515e-08, 2.0500e-08,  25.00000,1
 1.6000e-11, 1.6000e-11, 2.0516e-08, 2.0500e-08,  25.00000,1
 1.7000e-11, 1.7000e-11, 2.0517e-08, 2.0500e-08,  25.00000,1
 1.8000e-11, 1.8000e-11, 2.0518e-08, 2.0500e-08,  25.00000,1
 1.9000e-11, 1.9000e-11, 2.0519e-08, 2.0500e-08,  25.00000,1
 2.0000e-11, 2.0000e-11, 2.0520e-08, 2.0500e-08,  25.00000,1
 2.1000e-11, 2.1000e-11, 2.0521e-08, 2.0500e-08,  25.00000,1
 2.2000e-11, 2.2000e-11, 2.0522e-08, 2.0500e-08,  25.00000,1
 2.3000e-11, 2.3000e-11, 2.0523e-08, 2.0500e-08,  25.00000,1
 2.4000e-11, 2.4000e-11, 2.0524e-08, 2.0500e-08,  25.00000,1
 2.5000e-11, 2.5000e-11, 2.0525e-08, 2.0500e-08,  25.00000,1
 2.6000e-11, 2.6000e-11, 2.0526e-08, 2.0500e-08,  25.00000,1
 2.7000e-11, 2.7000e-11, 2.0527e-08, 2.0500e-08,  25.00000,1
 2.8000e-11, 2.8000e-11, 2.0528e-08, 2.0500e-08,  25.00000,1
 2.9000e-11, 2.9000e-11, 2.0529e-08, 2.0500e-08,  25.00000,1
 3.0000e-11, 3.0000e-11, 2.0530e-08, 2.0500e-08,  25.00000,1
 3.1000e-11, 3.1000e-11, 2.0531e-08, 2.0500e-08,  25.00000,1
 3.2000e-11, 3.2000e-11, 2.0532e-08, 2.0500e-08,  25.00000,1
 3.3000e-11, 3.3000e-11, 2.0533e-08, 2.0500e-08,  25.00000,1
 3.4000e-11, 3.4000e-11, 2.0534e-08, 2.0500e-08,  25.00000,1
 3.5000e-11, 3.5000e-11, 2.0535e-08, 2.0500e-08,  25.00000,1
 3.6000e-11, 3.6000e-11, 2.0536e-08, 2.0500e-08,  25.00000,1
 3.7000e-11, 3.7000e-11, 2.0537e-08, 2.0500e-08,  25.00000,1
 3.8000e-11, 3.8000e-11, 2.0538e-08, 2.0500e-08,  25.00000,1
 3.9000e-11, 3.9000e-11, 2.0539e-08, 2.0500e-08,  25.00000,1
 4.0000e-11, 4.0000e-11, 2.0540e-08, 2.0500e-08,  25.00000,1
 4.1000e-11, 4.1000e-11, 2.0541e-08, 2.0500e-08,  25.00000,1
 4.2000e-11, 4.2000e-11, 2.0542e-08, 2.0500e-08,  25.00000,1
 4.3000e-11, 4.3000e-11, 2.0543e-08, 2.0500e-08,  25.00000,1
 4.4000e-11, 4.4000e-11, 2.0544e-08, 2.0500e-08,  25.00000,1
 4.5000e-11, 4.5000e-11, 2.0545e-08, 2.0500e-08,  25.00000,1
 4.6000e-11, 4.6000e-11, 7.1363e-10, 6.6763e-10,  25.00000,1
 4.7000e-11, 4.7000e-11, 6.6856e-10, 6.2156e-10,  25.00000,1
 4.8000e-11, 4.8000e-11, 6.5075e-10, 6.0275e-10,  25.00000,1
 4.9000e-11, 4.9000e-11, 6.3851e-10, 5.8951e-10,  25.00000,1
 5.0000e-11, 5.0000e-11, 6.2988e-10, 5.7988e-10,  25.00000,1
 5.1000e-11, 5.1000e-11, 6.2354e-10, 5.7254e-10,  25.00000,1
 5.2000e-11, 5.2000e-11, 6.1826e-10, 5.6626e-10,  25.00000,1
 5.3000e-11, 5.3000e-11, 6.1419e-10, 5.6119e-10,  25.00000,1
 5.4000e-11, 5.4000e-11, 6.1083e-10, 5.5683e-10,  25.00000,1
 5.5000e-11, 5.5000e-11, 6.0769e-10, 5.5269e-10,  25.00000,1
 5.6000e-11, 5.6000e-11, 6.0487e-10, 5.4887e-10,  25.00000,1
 5.7000e-11, 5.7000e-11, 6.0271e-10, 5.4571e-10,  25.00000,1
 5.8000e-11, 5.8000e-11, 6.0053e-10, 5.4253e-10,  25.00000,1
 5.9000e-11, 5.9000e-11, 5.9870e-10, 5.3970e-10,  25.00000,1
 6.0000e-11, 6.0000e-11, 5.9689e-10, 5.3689e-10,  25.00000,1
 6.1000e-11, 6.1000e-11, 5.9555e-10, 5.3455e-10,  25.00000,1
 6.2000e-11, 6.2000e-11, 5.9428e-10, 5.3228e-10,  25.00000,1
 6.3000e-11, 6.3000e-11, 5.9318e-10, 5.3018e-10,  25.00000,1
 6.4000e-11, 6.4000e-11, 5.9212e-10, 5.2812e-10,  25.00000,1
 6.5000e-11, 6.5000e-11, 5.9143e-10, 5.2643e-10,  25.00000,1
 6.6000e-11, 6.6000e-11, 5.9077e-10, 5.2477e-10,  25.00000,1
 6.7000e-11, 6.7000e-11, 5.9018e-10, 5.2318e-10,  25.00000,1
 6.8000e-11, 6.8000e-11, 5.8964e-10, 5.2164e-10,  25.00000,1
 6.9000e-11, 6.9000e-11, 5.8918e-10, 5.2018e-10,  25.00000,1
 7.0000e-11, 7.0000e-11, 5.8892e-10, 5.1892e-10,  25.00000,1
 7.1000e-11, 7.1000e-11, 5.8873e-10, 5.1773e-10,  25.00000,1
 7.2000e-11, 7.2000e-11, 5.8858e-10, 5.1658e-10,  25.00000,1
 7.3000e-11, 7.3000e-11, 5.8848e-10, 5.1548e-10,  25.00000,1
 7.4000e-11, 7.4000e-11, 5.8855e-10, 5.1455e-10,  25.00000,1
 7.5000e-11, 7.5000e-11, 5.8858e-10, 5.1358e-10,  25.00000,1
 7.6000e-11, 7.6000e-11, 5.8879e-10, 5.1279e-10,  25.00000,1
 7.7000e-11, 7.7000e-11, 5.8901e-10, 5.1201e-10,  25.00000,1
 7.8000e-11, 7.8000e-11, 5.8920e-10, 5.1120e-10,  25.00000,1
 7.9000e-11, 7.9000e-11, 5.8949e-10, 5.1049e-10,  25.00000,1
 8.0000e-11, 8.0000e-11, 5.8988e-10, 5.0988e-10,  25.00000,1
 8.1000e-11, 8.1000e-11, 5.9028e-10, 5.0928e-10,  25.00000,1
 8.2000e-11, 8.2000e-11, 5.9067e-10, 5.0867e-10,  25.00000,1
 8.3000e-11, 8.3000e-11, 5.9114e-10, 5.0814e-10,  25.00000,1
 8.4000e-11, 8.4000e-11, 5.9159e-10, 5.0759e-10,  25.00000,1
 8.5000e-11, 8.5000e-11, 5.9215e-10, 5.0715e-10,  25.00000,1
 8.6000e-11, 8.6000e-11, 5.9269e-10, 5.0669e-10,  25.00000,1
 8.7000e-11, 8.7000e-11, 5.9337e-10, 5.0637e-10,  25.00000,1
 8.8000e-11, 8.8000e-11, 5.9392e-10, 5.0592e-10,  25.00000,1
 8.9000e-11, 8.9000e-11, 5.9462e-10, 5.0562e-10,  25.00000,1
 9.0000e-11, 9.0000e-11, 5.9523e-10, 5.0523e-10,  25.00000,1
 9.1000e-11, 9.1000e-11, 5.9600e-10, 5.0500e-10,  25.00000,1
 9.2000e-11, 9.2000e-11, 5.9667e-10, 5.0467e-10,  25.00000,1
 9.3000e-11, 9.3000e-11, 5.9736e-10, 5.0436e-10,  25.00000,1
 9.4000e-11, 9.4000e-11, 5.9814e-10, 5.0414e-10,  25.00000,1
 9.5000e-11, 9.5000e-11, 5.9892e-10, 5.0392e-10,  25.00000,1
 9.6000e-11, 9.6000e-11, 5.9968e-10, 5.0368e-10,  25.00000,1
 9.7000e-11, 9.7000e-11, 6.0050e-10, 5.0350e-10,  25.00000,1
 9.8000e-11, 9.8000e-11, 6.0130e-10, 5.0330e-10,  25.00000,1
 9.9000e-11, 9.9000e-11, 6.0203e-10, 5.0303e-10,  25.00000,1
 1.0000e-10, 1.0000e-10, 6.0289e-10, 5.0289e-10,  25.00000,1
 1.0100e-10, 1.0100e-10, 6.0374e-10, 5.0274e-10,  25.00000,1
 1.0200e-10, 1.0200e-10, 6.0465e-10, 5.0265e-10,  25.00000,1
 1.0300e-10, 1.0300e-10, 6.0551e-10, 5.0251e-10,  25.00000,1
 1.0400e-10, 1.0400e-10, 6.0638e-10, 5.0238e-10,  25.00000,1
 1.0500e-10, 1.0500e-10, 6.0726e-10, 5.0226e-10,  25.00000,1
 1.0600e-10, 1.0600e-10, 6.0814e-10, 5.0214e-10,  25.00000,1
 1.0700e-10, 1.0700e-10, 6.0902e-10, 5.0202e-10,  25.00000,1
 1.0800e-10, 1.0800e-10, 6.0988e-10, 5.0188e-10,  25.00000,1
 1.0900e-10, 1.0900e-10, 6.1079e-10, 5.0179e-10,  25.00000,1
 1.1000e-10, 1.1000e-10, 6.1171e-10, 5.0171e-10,  25.00000,1
 1.1100e-10, 1.1100e-10, 6.1269e-10, 5.0169e-10,  25.00000,1
 1.1200e-10, 1.1200e-10, 6.1361e-10, 5.0161e-10,  25.00000,1
 1.1300e-10, 1.1300e-10, 6.1457e-10, 5.0157e-10,  25.00000,1
 1.1400e-10, 1.1400e-10, 6.1547e-10, 5.0147e-10,  25.00000,1
 1.1500e-10, 1.1500e-10, 6.1639e-10, 5.0139e-10,  25.00000,1
 1.1600e-10, 1.1600e-10, 6.1738e-10, 5.0138e-10,  25.00000,1
 1.1700e-10, 1.1700e-10, 6.1832e-10, 5.0132e-10,  25.00000,1
 1.1800e-10, 1.1800e-10, 6.1920e-10, 5.0120e-10,  25.00000,1
 1.1900e-10, 1.1900e-10, 6.2025e-10, 5.0125e-10,  25.00000,1
 1.2000e-10, 1.2000e-10, 6.2121e-10, 5.0121e-10,  25.00000,1
 1.2100e-10, 1.2100e-10, 6.2217e-10, 5.0117e-10,  25.00000,1
 1.2200e-10, 1.2200e-10, 6.2310e-10, 5.0110e-10,  25.00000,1
 1.2300e-10, 1.2300e-10, 6.2407e-10, 5.0107e-10,  25.00000,1
 1.2400e-10, 1.2400e-10, 6.2509e-10, 5.0109e-10,  25.00000,1
 1.2500e-10, 1.2500e-10, 6.2607e-10, 5.0107e-10,  25.00000,1
 1.2600e-10, 1.2600e-10, 6.2703e-10, 5.0103e-10,  25.00000,1
 1.2700e-10, 1.2700e-10, 6.2801e-10, 5.0101e-10,  25.00000,1
 1.2800e-10, 1.2800e-10, 6.2904e-10, 5.0104e-10,  25.00000,1
 1.2900e-10, 1.2900e-10, 6.3003e-10, 5.0103e-10,  25.00000,1
 1.3000e-10, 1.3000e-10, 6.3101e-10, 5.0101e-10,  25.00000,1
 1.3100e-10, 1.3100e-10, 6.3194e-10, 5.0094e-10,  25.00000,1
 1.3200e-10, 1.3200e-10, 6.3299e-10, 5.0099e-10,  25.00000,1
 1.3300e-10, 1.3300e-10, 6.3388e-10, 5.0088e-10,  25.00000,1
 1.3400e-10, 1.3400e-10, 6.3489e-10, 5.0089e-10,  25.00000,1
 1.3500e-10, 1.3500e-10, 6.3590e-10, 5.0090e-10,  25.00000,1
 1.3600e-10, 1.3600e-10, 6.3701e-10, 5.0101e-10,  25.00000,1
 1.3700e-10, 1.3700e-10, 6.3801e-10, 5.0101e-10,  25.00000,1
 1.3800e-10, 1.3800e-10, 6.3902e-10, 5.0102e-10,  25.00000,1
 1.3900e-10, 1.3900e-10, 6.4003e-10, 5.0103e-10,  25.00000,1
 1.4000e-10, 1.4000e-10, 6.4104e-10, 5.0104e-10,  25.00000,1
 1.4100e-10, 1.4100e-10, 6.4205e-10, 5.0105e-10,  25.00000,1
 1.4200e-10, 1.4200e-10, 6.4303e-10, 5.0103e-10,  25.00000,1
 1.4300e-10, 1.4300e-10, 6.4405e-10, 5.0105e-10,  25.00000,1
 1.4400e-10, 1.4400e-10, 6.4500e-10, 5.0100e-10,  25.00000,1
 1.4500e-10, 1.4500e-10, 6.4606e-10, 5.0106e-10,  25.00000,1
 1.4600e-10, 1.4600e-10, 6.4709e-10, 5.0109e-10,  25.00000,1
 1.4700e-10, 1.4700e-10, 6.4810e-10, 5.0110e-10,  25.00000,1
 1.4800e-10, 1.4800e-10, 6.4910e-10, 5.0110e-10,  25.00000,1
 1.4900e-10, 1.4900e-10, 6.5008e-10, 5.0108e-10,  25.00000,1
 1.5000e-10, 1.5000e-10, 6.5109e-10, 5.0109e-10,  25.00000,1
